

Windows-1252;;kunta_1_20220101#maakunta_1_20220101;;
sourcecode;sourcename;targetcode;targetname
"'681'";"Rantasalmi";"'10'";"Etelä-Savo"
"'683'";"Ranua";"'19'";"Lappi"
"'684'";"Rauma";"'04'";"Satakunta"
"'686'";"Rautalampi";"'11'";"Pohjois-Savo"
"'687'";"Rautavaara";"'11'";"Pohjois-Savo"
"'689'";"Rautjärvi";"'09'";"Etelä-Karjala"
"'691'";"Reisjärvi";"'17'";"Pohjois-Pohjanmaa"
"'694'";"Riihimäki";"'05'";"Kanta-Häme"
"'697'";"Ristijärvi";"'18'";"Kainuu"
"'698'";"Rovaniemi";"'19'";"Lappi"
"'700'";"Ruokolahti";"'09'";"Etelä-Karjala"
"'702'";"Ruovesi";"'06'";"Pirkanmaa"
"'704'";"Rusko";"'02'";"Varsinais-Suomi"
"'707'";"Rääkkylä";"'12'";"Pohjois-Karjala"
"'729'";"Saarijärvi";"'13'";"Keski-Suomi"
"'732'";"Salla";"'19'";"Lappi"
"'734'";"Salo";"'02'";"Varsinais-Suomi"
"'736'";"Saltvik";"'21'";"Ahvenanmaa"
"'790'";"Sastamala";"'06'";"Pirkanmaa"
"'738'";"Sauvo";"'02'";"Varsinais-Suomi"
"'739'";"Savitaipale";"'09'";"Etelä-Karjala"
"'740'";"Savonlinna";"'10'";"Etelä-Savo"
"'742'";"Savukoski";"'19'";"Lappi"
"'743'";"Seinäjoki";"'14'";"Etelä-Pohjanmaa"
"'746'";"Sievi";"'17'";"Pohjois-Pohjanmaa"
"'747'";"Siikainen";"'04'";"Satakunta"
"'748'";"Siikajoki";"'17'";"Pohjois-Pohjanmaa"
"'791'";"Siikalatva";"'17'";"Pohjois-Pohjanmaa"
"'749'";"Siilinjärvi";"'11'";"Pohjois-Savo"
"'751'";"Simo";"'19'";"Lappi"
"'753'";"Sipoo";"'01'";"Uusimaa"
"'755'";"Siuntio";"'01'";"Uusimaa"
"'758'";"Sodankylä";"'19'";"Lappi"
"'759'";"Soini";"'14'";"Etelä-Pohjanmaa"
"'761'";"Somero";"'02'";"Varsinais-Suomi"
"'762'";"Sonkajärvi";"'11'";"Pohjois-Savo"
"'765'";"Sotkamo";"'18'";"Kainuu"
"'766'";"Sottunga";"'21'";"Ahvenanmaa"
"'768'";"Sulkava";"'10'";"Etelä-Savo"
"'771'";"Sund";"'21'";"Ahvenanmaa"
"'777'";"Suomussalmi";"'18'";"Kainuu"
"'778'";"Suonenjoki";"'11'";"Pohjois-Savo"
"'781'";"Sysmä";"'07'";"Päijät-Häme"
"'783'";"Säkylä";"'04'";"Satakunta"
"'831'";"Taipalsaari";"'09'";"Etelä-Karjala"
"'832'";"Taivalkoski";"'17'";"Pohjois-Pohjanmaa"
"'833'";"Taivassalo";"'02'";"Varsinais-Suomi"
"'834'";"Tammela";"'05'";"Kanta-Häme"
"'837'";"Tampere";"'06'";"Pirkanmaa"
"'844'";"Tervo";"'11'";"Pohjois-Savo"
"'845'";"Tervola";"'19'";"Lappi"
"'846'";"Teuva";"'14'";"Etelä-Pohjanmaa"
"'848'";"Tohmajärvi";"'12'";"Pohjois-Karjala"
"'849'";"Toholampi";"'16'";"Keski-Pohjanmaa"
"'850'";"Toivakka";"'13'";"Keski-Suomi"
"'851'";"Tornio";"'19'";"Lappi"
"'853'";"Turku";"'02'";"Varsinais-Suomi"
"'857'";"Tuusniemi";"'11'";"Pohjois-Savo"
"'858'";"Tuusula";"'01'";"Uusimaa"
"'859'";"Tyrnävä";"'17'";"Pohjois-Pohjanmaa"
"'886'";"Ulvila";"'04'";"Satakunta"
"'887'";"Urjala";"'06'";"Pirkanmaa"
"'889'";"Utajärvi";"'17'";"Pohjois-Pohjanmaa"
"'890'";"Utsjoki";"'19'";"Lappi"
"'892'";"Uurainen";"'13'";"Keski-Suomi"
"'893'";"Uusikaarlepyy";"'15'";"Pohjanmaa"
"'895'";"Uusikaupunki";"'02'";"Varsinais-Suomi"
"'785'";"Vaala";"'17'";"Pohjois-Pohjanmaa"
"'905'";"Vaasa";"'15'";"Pohjanmaa"
"'908'";"Valkeakoski";"'06'";"Pirkanmaa"
"'092'";"Vantaa";"'01'";"Uusimaa"
"'915'";"Varkaus";"'11'";"Pohjois-Savo"
"'918'";"Vehmaa";"'02'";"Varsinais-Suomi"
"'921'";"Vesanto";"'11'";"Pohjois-Savo"
"'922'";"Vesilahti";"'06'";"Pirkanmaa"
"'924'";"Veteli";"'16'";"Keski-Pohjanmaa"
"'925'";"Vieremä";"'11'";"Pohjois-Savo"
"'927'";"Vihti";"'01'";"Uusimaa"
"'931'";"Viitasaari";"'13'";"Keski-Suomi"
"'934'";"Vimpeli";"'14'";"Etelä-Pohjanmaa"
"'935'";"Virolahti";"'08'";"Kymenlaakso"
"'936'";"Virrat";"'06'";"Pirkanmaa"
"'941'";"Vårdö";"'21'";"Ahvenanmaa"
"'946'";"Vöyri";"'15'";"Pohjanmaa"
"'976'";"Ylitornio";"'19'";"Lappi"
"'977'";"Ylivieska";"'17'";"Pohjois-Pohjanmaa"
"'980'";"Ylöjärvi";"'06'";"Pirkanmaa"
"'981'";"Ypäjä";"'05'";"Kanta-Häme"
"'989'";"Ähtäri";"'14'";"Etelä-Pohjanmaa"
"'992'";"Äänekoski";"'13'";"Keski-Suomi"

